PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
dirty	1	12	1405390 all 1403012 all 2114296 all 1245778 all 1587474 all 305590 all 621857 all 957743 all 1909077 all 426608 all 419289 all 424370 all
hard	1	12	2286294 all 1150915 all 744916 all 1299173 all 1127302 all 1069715 all 1156505 all 1157762 all 1155354 all 1158974 all 836544 all 2322512 all
weak	1	12	2324397 all 2320442 all 2230471 all 1960432 all 2493574 all 2040233 all 1828242 all 1747364 all 964768 all 1259391 all 756459 all 441523 all
rich	1	12	2397234 all 2021905 all 2501693 all 2026785 all 2024758 all 2024143 all 1457369 all 1081340 all 14490 all 1866429 all 403385 all 2560402 all
dull	1	12	800248 all 440579 all 462249 all 1454985 all 1345307 all 2107634 all 2011622 all 806512 all 803971 all 393992 all 36998 all 283703 all
easy	1	12	361837 all 1808139 all 1272176 all 477553 all 749230 all 1144571 all 2364721 all 1192035 all 2022556 all 15097 all 184075 all 822115 all
true	1	12	23120 all 959530 all 911204 all 1470649 all 1163759 all 1225398 all 2469756 all 2465519 all 2460502 all 1938508 all 1407267 all 2180277 all
positive	1	11	721838 all 1820481 all 1820103 all 1043505 all 65064 all 337172 all 358678 all 2782815 pert 1817500 all 1819692 all 339288 all
secret	1	11	1706986 all 28984 all 416045 all 2089514 all 2090069 all 1859571 all 900071 all 1860580 all 1707404 all 1706465 all 952181 all
new	1	11	2584699 all 820975 all 821208 all 937186 all 818008 all 1640850 all 1687965 all 1687167 all 2070491 all 24996 all 128733 all
live	1	11	843595 all 667463 all 99290 all 1424596 all 1422556 all 94448 all 2010441 all 806243 all 41488 all 667353 all 358392 all
dark	1	11	1137378 all 1131935 all 2088883 all 534250 all 364881 all 273082 all 36763 all 409440 all 245200 all 242575 all 884501 all
short	1	11	709021 all 2337329 all 1444620 all 1444230 all 1896046 all 2006031 all 640660 all 1436003 all 1442186 all 2336904 all 2386612 all
indifferent	1	10	2340710 all 546452 all 1930004 all 1532454 all 1342949 all 1724072 all 1723856 all 1194328 all 1280576 all 1674604 all
bare	1	10	1714157 all 2563466 all 60605 all 1086915 all 2155524 all 1242750 all 1698400 all 457998 all 106821 all 1792573 all
natural	1	10	2282985 all 1577771 all 74594 all 1952643 all 1574036 all 1570892 all 1569965 all 1595050 all 1406180 all 1335708 all
outside	1	10	1413084 all 23655 all 1037885 all 1347749 all 952761 all 950002 all 948514 all 1692969 all 1692222 all 1350225 all
strong	1	10	2321009 all 2275412 all 1068609 all 1961786 all 2526124 all 1824244 all 1826979 all 1513512 all 842199 all 1158974 all
direct	1	10	763901 all 1852666 all 914808 all 1416508 all 769239 all 5473 all 770480 all 760916 all 769926 all 763633 all
bright	1	10	271022 all 176387 all 1812237 all 2009688 all 1149050 all 402855 all 1121238 all 1335458 all 284930 all 278551 all
sweet	1	10	2338197 all 1808671 all 2368336 all 1808413 all 1501821 all 2367604 all 1459949 all 1052611 all 1073707 all 2370083 all
thick	1	10	2387413 all 2415390 all 539009 all 2410393 all 440292 all 1337314 all 1771839 all 1513776 all 15480 all 452114 all
small	1	10	2340458 all 1391351 all 882580 all 1554940 all 1467534 all 2233680 all 1532912 all 1455732 all 1415219 all 1649031 all
minor	1	10	1471368 all 1471954 all 1473083 all 1473826 all 2101240 all 1472509 all 1471723 all 1472225 all 1721401 all 1415219 all
false	1	10	584403 all 1116857 all 2461723 all 2182088 all 1573238 all 2500379 all 1164420 all 1224650 all 633235 all 1942507 all
warm	1	10	445308 all 479192 all 2529264 all 1068609 all 1464700 all 919018 all 2530861 all 886117 all 806387 all 2531919 all
fair	1	10	956131 all 1404898 all 1532261 all 1484342 all 218440 all 958475 all 955626 all 1673061 all 461091 all 244054 all
fast	1	10	976508 all 2237502 all 1059711 all 983573 all 1774091 all 1270486 all 323873 all 1549568 all 959244 all 981818 all
firm	1	10	2130272 all 959244 all 1059711 all 2291336 all 1990653 all 1171076 all 1151740 all 2302366 all 2094388 all 842199 all
low	1	10	2336759 all 1455888 all 1215421 all 1951008 all 1212469 all 1893303 all 2340458 all 904745 all 1206474 all 703615 all
out	1	10	572714 all 2334973 all 974908 all 952653 all 1761375 all 1823948 all 949797 all 2061487 all 1295946 all 100213 all
inactive	1	10	36481 all 35074 all 43125 all 39592 all 37757 all 33574 all 40685 all 1929802 all 1564315 all 1660857 all
incompatible	1	9	508192 all 509206 all 1487352 all 509896 all 562909 all 561036 all 623565 all 2382572 all 578523 all
cut	1	9	663267 all 1566027 all 2454750 all 756327 all 4615 all 662958 all 661278 all 882742 all 2137070 all
negative	1	9	75515 all 1819976 all 1820861 all 1128508 all 1820338 all 1818234 all 65667 all 358534 all 587890 all
casual	1	9	545746 all 312234 all 1044557 all 1961205 all 1798162 all 1798484 all 1190484 all 1044730 all 749749 all
closed	1	9	1653538 all 1660135 all 1986349 all 2002580 all 1657760 all 2256659 all 2474377 all 1655162 all 1652782 all
common	1	9	485711 all 1673815 all 492677 all 1950198 all 1046226 all 1593079 all 2152473 all 2346557 all 970610 all
wrong	1	9	136185 all 632438 all 633778 all 23854 all 2035337 all 1881478 all 1662119 all 1092371 all 1694081 all
tough	1	9	707795 all 1127302 all 2512641 all 2448437 all 2447344 all 748058 all 746451 all 2445636 all 478311 all
sound	1	9	2273326 all 1944088 all 2275209 all 2499511 all 2499148 all 2037152 all 1171213 all 523786 all 693020 all
bound	1	9	252954 all 340626 all 638396 all 1058854 all 2371495 all 1682822 all 1955494 all 1064806 all 256636 all
sure	1	9	2094633 all 2461586 all 336831 all 340239 all 724397 all 309740 all 335895 all 2302822 all 2465978 all
last	1	9	1579128 all 1730329 all 1212095 all 1010271 all 1013279 all 4296 all 1412912 all 230076 all 349894 all
long	1	9	2386125 all 2274869 all 1433493 all 1895296 all 1444434 all 1444022 all 1437963 all 15589 all 2005756 all
lost	1	9	2419159 all 1449564 all 1766133 all 1684133 all 1230616 all 535170 all 1956855 all 1450969 all 1452266 all
real	1	9	2392406 all 1932973 all 1941604 all 625393 all 1939596 all 1937994 all 2119716 all 2460964 all 13662 all
down	1	9	833737 all 703615 all 1208492 all 2486248 all 2491961 all 2487414 all 1212867 all 1750617 all 2061678 all
free	1	9	1710260 all 1065694 all 1624115 all 1624010 all 916199 all 1060947 all 927978 all 1061489 all 1058363 all
