PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
take in	2	17	304100 change 2218173 possession 1540844 contact 1156834 consumption 2492584 social 1539063 contact 602255 cognition 1470225 contact 2656995 stative 2289295 possession 2150948 perception 1197980 consumption 2765464 weather 854904 communication 2189168 perception 1214786 contact 413195 change
pick up	2	16	23473 body 2107248 perception 2117955 perception 1957107 motion 2287041 possession 513757 change 2486534 social 1207402 contact 1173813 consumption 2355410 possession 1976089 motion 2305586 possession 1811736 emotion 1215137 contact 598954 cognition 205598 change
set up	2	15	407848 change 408085 change 2427103 social 1514126 contact 406243 change 1661472 creation 2578008 social 1463963 contact 1661243 creation 1656788 creation 1642924 creation 735571 cognition 1570108 contact 1569566 contact 2573127 social
take out	2	14	2326955 possession 2486693 social 1854132 motion 1995211 motion 179311 change 1485513 contact 615774 cognition 1166940 consumption 1352390 contact 1351170 contact 2311387 possession 2404904 social 2239261 possession 677021 cognition
take up	2	13	350283 change 348422 change 1312371 contact 1540844 contact 1539063 contact 2591171 social 2379528 social 1982395 motion 1540449 contact 602112 cognition 1197980 consumption 2346724 possession 2649493 stative
turn out	2	12	425522 change 1623792 creation 2633881 stative 1468576 contact 2610845 stative 18158 body 2045415 motion 2634133 stative 1510576 contact 2340360 possession 2429475 social 1652139 creation
come up	2	12	339738 change 1526605 contact 2213336 possession 1970348 motion 1381549 contact 2721840 stative 1990281 motion 1968569 motion 1849221 motion 1627779 creation 1384752 contact 2625786 stative
give up	2	12	2345647 possession 1083044 competition 1115585 competition 2367032 social 2680814 stative 2303331 possession 2235229 possession 2227741 possession 2316304 possession 1196524 consumption 613393 cognition 2423650 social
get off	2	11	2197250 perception 941855 communication 2016062 motion 1437888 contact 1200934 consumption 810729 communication 1923732 motion 905059 communication 1958452 motion 1062555 communication 2412089 social
come out	2	11	423702 change 425967 change 659776 cognition 2081946 motion 2610845 stative 548266 change 2097925 motion 2089174 motion 935456 communication 935141 communication 528990 change
put out	2	10	2760495 weather 1154382 competition 1615457 contact 2755452 stative 21065 body 27705 body 967625 communication 1625532 creation 2507736 social 1569017 contact
make out	2	10	626300 cognition 1426397 contact 931085 communication 757056 communication 1064799 communication 2193194 perception 2617567 stative 1426153 contact 2587532 social 1020731 communication
turn over	2	9	2261256 possession 2089420 motion 1909397 motion 813044 communication 1309701 contact 1222958 contact 1866192 motion 2230772 possession 1909978 motion
bring out	2	9	1475301 contact 2157100 perception 1214597 contact 967625 communication 514463 change 933821 communication 1818669 emotion 1065115 communication 2143283 perception
put up	2	9	879540 communication 1661243 creation 668099 cognition 1570403 contact 2376289 social 2237782 possession 2297571 possession 213794 change 2459173 social
make up	2	9	40928 body 764902 communication 1634424 creation 2620587 stative 2253456 possession 1753465 creation 2520730 social 2672540 stative 276068 change
put on	2	9	184511 change 184786 change 1649809 creation 1363648 contact 1665185 creation 50652 body 854904 communication 1649251 creation 46151 body
take off	2	9	50454 body 1743313 creation 641252 cognition 2014165 motion 179060 change 2014553 motion 1864438 motion 1326323 contact 2411950 social
break down	2	8	1103836 competition 2041877 motion 209174 change 643473 cognition 434374 change 1784295 emotion 30647 body 1370126 contact
take over	2	8	2274299 possession 2412175 social 2216560 possession 2346724 possession 2595662 social 2381726 social 2274482 possession 2301825 possession
force out	2	8	2405252 social 1375637 contact 1468058 contact 2402825 social 1281611 contact 3662 body 2013840 motion 2056466 motion
work out	2	8	251270 change 100551 body 638585 cognition 251463 change 2611106 stative 634906 cognition 99721 body 637259 cognition
get up	2	8	18405 body 44149 body 1651444 creation 605783 cognition 18158 body 1974062 motion 96648 body 1983264 motion
bring up	2	8	98346 body 1629958 creation 2398161 social 1974062 motion 1024190 communication 1859854 motion 2539788 social 1025246 communication
run out	2	8	560247 change 561714 change 561571 change 2684784 stative 2069888 motion 2011040 motion 2071457 motion 99517 body
